Item:,Quantity:,Price:,Link:,Total Cost:
Raspberry Pi 4 (Already have it),1,$0,N/A,
Raspberry Pi 4 Camera,1,$23.08,Camera,
PCB,1,$15.78,,
Raspberry Pi Fan,1,$4.35,Fan,
Standoffs & Screws,1 kit,$10,Screws and standoffs,
3 Pin Female Header,3,$2.50,3 Pin Header,
4 Pin Female Header,2,$2.72,4 Pin Header,
7 Pin Female Header,1,$3.10,7 Pin Header,
6 Pin Female Header,2,$2.95,6 Pin Header,
2 Pin Male Header,1,$1.00,2 Pin Header,
1 Pin Header,1,$1,1 Pin Header,
330ohm Resistor,1,$1.47,Resistor,
40Pin SMT Connector,1,$4.77,SMT Connector,
WS2812B LED Strip,1,$6.46,LED Strip,
,,,,79.18 (Will pay extra myself)
